Ex,No,Item,Filler,Grammaticality,Attractor,Surprisal
1B,64,The woman who walked the dog clearly [MASK] happy about the cross-country road trip. ,were,Ungrammatical,SG,8.2820683
1B,64,The woman who walked the dogs clearly [MASK] happy about the cross-country road trip. ,were,Ungrammatical,PL,8.131209652
1B,65,The nurse who called the doctor unsurprisingly [MASK] excited about the good news. ,was,Grammatical,SG,0.910122297
1B,65,The nurse who called the doctors unsurprisingly [MASK] excited about the good news. ,was,Grammatical,PL,0.628293256
1B,65,The nurse who called the doctor unsurprisingly [MASK] excited about the good news. ,were,Ungrammatical,SG,7.824166728
1B,65,The nurse who called the doctors unsurprisingly [MASK] excited about the good news. ,were,Ungrammatical,PL,7.237870524
1B,66,The director who called the assistant suddenly [MASK] intrigued by the secret report. ,was,Grammatical,SG,3.085615423
1B,66,The director who called the assistants suddenly [MASK] intrigued by the secret report. ,was,Grammatical,PL,3.136285758
1B,66,The director who called the assistant suddenly [MASK] intrigued by the secret report. ,were,Ungrammatical,SG,9.39489096
1B,66,The director who called the assistants suddenly [MASK] intrigued by the secret report. ,were,Ungrammatical,PL,9.183024893
1B,67,The artist who painted the house certainly [MASK] impressed with the stunning view. ,was,Grammatical,SG,0.245277913
1B,67,The artist who painted the houses certainly [MASK] impressed with the stunning view. ,was,Grammatical,PL,0.19272582
1B,67,The artist who painted the house certainly [MASK] impressed with the stunning view. ,were,Ungrammatical,SG,6.911643487
1B,67,The artist who painted the houses certainly [MASK] impressed with the stunning view. ,were,Ungrammatical,PL,6.506636335
1B,68,The director who called the actor certainly [MASK] surprised about the exciting news. ,was,Grammatical,SG,1.400948015
1B,68,The director who called the actors certainly [MASK] surprised about the exciting news. ,was,Grammatical,PL,1.397253783
1B,68,The director who called the actor certainly [MASK] surprised about the exciting news. ,were,Ungrammatical,SG,7.275700039
1B,68,The director who called the actors certainly [MASK] surprised about the exciting news. ,were,Ungrammatical,PL,6.344940977
1B,69,The thief who stole the stash obviously [MASK] scared of being caught red-handed. ,was,Grammatical,SG,0.104461202
1B,69,The thief who stole the stashes obviously [MASK] scared of being caught red-handed. ,was,Grammatical,PL,0.119522402
1B,69,The thief who stole the stash obviously [MASK] scared of being caught red-handed. ,were,Ungrammatical,SG,7.515212939
1B,69,The thief who stole the stashes obviously [MASK] scared of being caught red-handed. ,were,Ungrammatical,PL,7.198314087
1B,70,The author who read the book apparently [MASK] disappointed with the surprise ending. ,was,Grammatical,SG,0.100736584
1B,70,The author who read the books apparently [MASK] disappointed with the surprise ending. ,was,Grammatical,PL,0.092499381
1B,70,The author who read the book apparently [MASK] disappointed with the surprise ending. ,were,Ungrammatical,SG,5.59072017
1B,70,The author who read the books apparently [MASK] disappointed with the surprise ending. ,were,Ungrammatical,PL,5.405636396
1B,71,The solider who fought the terrorist likely [MASK] surrounded by a team of insurgents. ,was,Grammatical,SG,0.190226822
1B,71,The solider who fought the terrorists likely [MASK] surrounded by a team of insurgents. ,was,Grammatical,PL,0.203068572
1B,71,The solider who fought the terrorist likely [MASK] surrounded by a team of insurgents. ,were,Ungrammatical,SG,5.305583745
1B,71,The solider who fought the terrorists likely [MASK] surrounded by a team of insurgents. ,were,Ungrammatical,PL,4.674864708
1B,72,The millionaire who drove the car allegedly [MASK] pulled over for drunk driving. ,was,Grammatical,SG,0.311911565
1B,72,The millionaire who drove the cars allegedly [MASK] pulled over for drunk driving. ,was,Grammatical,PL,0.470872929
1B,72,The millionaire who drove the car allegedly [MASK] pulled over for drunk driving. ,were,Ungrammatical,SG,6.466661989
1B,72,The millionaire who drove the cars allegedly [MASK] pulled over for drunk driving. ,were,Ungrammatical,PL,3.689170937
1B,73,The librarian who read the book certainly [MASK] surprised by the abrupt conclusion.,was,Grammatical,SG,0.838701337
1B,73,The librarian who read the books certainly [MASK] surprised by the abrupt conclusion.,was,Grammatical,PL,0.917593248
1B,73,The librarian who read the book certainly [MASK] surprised by the abrupt conclusion.,were,Ungrammatical,SG,8.063437516
1B,73,The librarian who read the books certainly [MASK] surprised by the abrupt conclusion.,were,Ungrammatical,PL,8.063379483
1B,74,The chef who prepared the meal evidently [MASK] unhappy about the quality of the ingredients. ,was,Grammatical,SG,0.093798199
1B,74,The chef who prepared the meals evidently [MASK] unhappy about the quality of the ingredients. ,was,Grammatical,PL,0.072784826
1B,74,The chef who prepared the meal evidently [MASK] unhappy about the quality of the ingredients. ,were,Ungrammatical,SG,7.603086985
1B,74,The chef who prepared the meals evidently [MASK] unhappy about the quality of the ingredients. ,were,Ungrammatical,PL,7.415122537
1B,75,The gardener who pruned the hedge financially [MASK] unable to buy more plants. ,was,Grammatical,SG,0.051348251
1B,75,The gardener who pruned the hedges financially [MASK] unable to buy more plants. ,was,Grammatical,PL,0.043558687
1B,75,The gardener who pruned the hedge financially [MASK] unable to buy more plants. ,were,Ungrammatical,SG,7.094761387
1B,75,The gardener who pruned the hedges financially [MASK] unable to buy more plants. ,were,Ungrammatical,PL,6.750180877
1B,76,The athlete who kicked the referee obviously [MASK] disappointed about the bad call. ,was,Grammatical,SG,0.705969807
1B,76,The athlete who kicked the referees obviously [MASK] disappointed about the bad call. ,was,Grammatical,PL,0.575761954
1B,76,The athlete who kicked the referee obviously [MASK] disappointed about the bad call. ,were,Ungrammatical,SG,6.77609537
1B,76,The athlete who kicked the referees obviously [MASK] disappointed about the bad call. ,were,Ungrammatical,PL,5.729120375
1B,77,The artist who painted the garden apparently [MASK] isolated from society for a long time. ,was,Grammatical,SG,2.309884229
1B,77,The artist who painted the gardens apparently [MASK] isolated from society for a long time. ,was,Grammatical,PL,2.18427
1B,77,The artist who painted the garden apparently [MASK] isolated from society for a long time. ,were,Ungrammatical,SG,7.821073734
1B,77,The artist who painted the gardens apparently [MASK] isolated from society for a long time. ,were,Ungrammatical,PL,6.938130621
1B,78,The teacher who called the student obviously [MASK] upset about the low grades. ,was,Grammatical,SG,0.124847438
1B,78,The teacher who called the students obviously [MASK] upset about the low grades. ,was,Grammatical,PL,0.122758452
1B,78,The teacher who called the student obviously [MASK] upset about the low grades. ,were,Ungrammatical,SG,6.425922922
1B,78,The teacher who called the students obviously [MASK] upset about the low grades. ,were,Ungrammatical,PL,5.556379817
1B,79,The chef who cooked the onion obviously [MASK] growing quite upset about the smell. ,was,Grammatical,SG,0.028596306
1B,79,The chef who cooked the onions obviously [MASK] growing quite upset about the smell. ,was,Grammatical,PL,0.022065433
1B,79,The chef who cooked the onion obviously [MASK] growing quite upset about the smell. ,were,Ungrammatical,SG,7.792473222
1B,79,The chef who cooked the onions obviously [MASK] growing quite upset about the smell. ,were,Ungrammatical,PL,7.572641648
1B,80,The host who sat the guest certainly [MASK] impressed with all of the colorful decorations.,was,Grammatical,SG,0.508261605
1B,80,The host who sat the guests certainly [MASK] impressed with all of the colorful decorations.,was,Grammatical,PL,0.497395509
1B,80,The host who sat the guest certainly [MASK] impressed with all of the colorful decorations.,were,Ungrammatical,SG,6.374929286
1B,80,The host who sat the guests certainly [MASK] impressed with all of the colorful decorations.,were,Ungrammatical,PL,5.494120547
1B,81,The stewardess who sat the passenger certainly [MASK] very pleased with the long flight. ,was,Grammatical,SG,2.604975204
1B,81,The stewardess who sat the passengers certainly [MASK] very pleased with the long flight. ,was,Grammatical,PL,2.104306415
1B,81,The stewardess who sat the passenger certainly [MASK] very pleased with the long flight. ,were,Ungrammatical,SG,8.31134654
1B,81,The stewardess who sat the passengers certainly [MASK] very pleased with the long flight. ,were,Ungrammatical,PL,7.181313685
1B,82,The driver who crossed the bridge luckily [MASK] very eager to return home. ,was,Grammatical,SG,0.323455367
1B,82,The driver who crossed the bridges luckily [MASK] very eager to return home. ,was,Grammatical,PL,0.326456284
1B,82,The driver who crossed the bridge luckily [MASK] very eager to return home. ,were,Ungrammatical,SG,7.792097527
1B,82,The driver who crossed the bridges luckily [MASK] very eager to return home. ,were,Ungrammatical,PL,7.67491549
1B,83,The professor who wrote the test certainly [MASK] mistaken about the final question. ,was,Grammatical,SG,0.14241912
1B,83,The professor who wrote the tests certainly [MASK] mistaken about the final question. ,was,Grammatical,PL,0.159217929
1B,83,The professor who wrote the test certainly [MASK] mistaken about the final question. ,were,Ungrammatical,SG,6.715616357
1B,83,The professor who wrote the tests certainly [MASK] mistaken about the final question. ,were,Ungrammatical,PL,6.578761203
1B,84,The journalist who wrote the article obviously [MASK] unhappy about all the criticism.,was,Grammatical,SG,0.231610049
1B,84,The journalist who wrote the articles obviously [MASK] unhappy about all the criticism.,was,Grammatical,PL,0.203885028
1B,84,The journalist who wrote the article obviously [MASK] unhappy about all the criticism.,were,Ungrammatical,SG,6.994930075
1B,84,The journalist who wrote the articles obviously [MASK] unhappy about all the criticism.,were,Ungrammatical,PL,6.575275309
1B,85,The robber who broke the safe apparently [MASK] hiding from the police on the other side of town.,was,Grammatical,SG,0.026499174
1B,85,The robber who broke the safes apparently [MASK] hiding from the police on the other side of town.,was,Grammatical,PL,0.026883233
1B,85,The robber who broke the safe apparently [MASK] hiding from the police on the other side of town.,were,Ungrammatical,SG,5.966232562
1B,85,The robber who broke the safes apparently [MASK] hiding from the police on the other side of town.,were,Ungrammatical,PL,4.980434448
1B,86,The dog that chewed the bone probably [MASK] pretty lonely the other night. ,was,Grammatical,SG,2.157620682
1B,86,The dog that chewed the bones probably [MASK] pretty lonely the other night. ,was,Grammatical,PL,2.047864821
1B,86,The dog that chewed the bone probably [MASK] pretty lonely the other night. ,were,Ungrammatical,SG,6.386537819
1B,86,The dog that chewed the bones probably [MASK] pretty lonely the other night. ,were,Ungrammatical,PL,6.241273798
1B,87,The coach who trained the athlete definitely [MASK] prepared for the championship game.,was,Grammatical,SG,1.039378396
1B,87,The coach who trained the athletes definitely [MASK] prepared for the championship game.,was,Grammatical,PL,1.052435285
1B,87,The coach who trained the athlete definitely [MASK] prepared for the championship game.,were,Ungrammatical,SG,5.91764142
1B,87,The coach who trained the athletes definitely [MASK] prepared for the championship game.,were,Ungrammatical,PL,5.151175895
1B,88,The child who walked the puppy clearly [MASK] happy to be outside in the sunny weather. ,was,Grammatical,SG,0.143541718
1B,88,The child who walked the puppies clearly [MASK] happy to be outside in the sunny weather. ,was,Grammatical,PL,0.090182963
1B,88,The child who walked the puppy clearly [MASK] happy to be outside in the sunny weather. ,were,Ungrammatical,SG,7.31816609
1B,88,The child who walked the puppies clearly [MASK] happy to be outside in the sunny weather. ,were,Ungrammatical,PL,6.810123175
1B,89,The nurse who called the doctor clearly [MASK] nervous about the stressful situation.,was,Grammatical,SG,0.510535776
1B,89,The nurse who called the doctors clearly [MASK] nervous about the stressful situation.,was,Grammatical,PL,0.456329134
1B,89,The nurse who called the doctor clearly [MASK] nervous about the stressful situation.,were,Ungrammatical,SG,7.993525092
1B,89,The nurse who called the doctors clearly [MASK] nervous about the stressful situation.,were,Ungrammatical,PL,7.411166906
1B,90,The boy who walked the dog suddenly [MASK] scared about the loud noises coming from a nearby building. ,was,Grammatical,SG,4.24527323
1B,90,The boy who walked the dogs suddenly [MASK] scared about the loud noises coming from a nearby building. ,was,Grammatical,PL,4.284065597
1B,90,The boy who walked the dog suddenly [MASK] scared about the loud noises coming from a nearby building. ,were,Ungrammatical,SG,10.42834917
1B,90,The boy who walked the dogs suddenly [MASK] scared about the loud noises coming from a nearby building. ,were,Ungrammatical,PL,10.30787264
1B,91,The athlete who ran the race unsurprisingly [MASK] upset about losing the championship.,was,Grammatical,SG,0.444285688
1B,91,The athlete who ran the races unsurprisingly [MASK] upset about losing the championship.,was,Grammatical,PL,0.345148951
1B,91,The athlete who ran the race unsurprisingly [MASK] upset about losing the championship.,were,Ungrammatical,SG,7.096382021
1B,91,The athlete who ran the races unsurprisingly [MASK] upset about losing the championship.,were,Ungrammatical,PL,6.774565154
1B,92,The pilot who flew the plane definitely [MASK] scared about the approaching storm.,was,Grammatical,SG,2.076297951
1B,92,The pilot who flew the planes definitely [MASK] scared about the approaching storm.,was,Grammatical,PL,1.862428573
1B,92,The pilot who flew the plane definitely [MASK] scared about the approaching storm.,were,Ungrammatical,SG,9.102244523
1B,92,The pilot who flew the planes definitely [MASK] scared about the approaching storm.,were,Ungrammatical,PL,8.64066106
1B,93,The child who drew the picture apparently [MASK] rather talented at drawing complex shapes. ,was,Grammatical,SG,0.086285552
1B,93,The child who drew the pictures apparently [MASK] rather talented at drawing complex shapes. ,was,Grammatical,PL,0.06227822
1B,93,The child who drew the picture apparently [MASK] rather talented at drawing complex shapes. ,were,Ungrammatical,SG,6.802334758
1B,93,The child who drew the pictures apparently [MASK] rather talented at drawing complex shapes. ,were,Ungrammatical,PL,6.61450236
1B,94,The researcher who wrote the article clearly [MASK] quite happy with the reviews. ,was,Grammatical,SG,0.183270647
1B,94,The researcher who wrote the articles clearly [MASK] quite happy with the reviews. ,was,Grammatical,PL,0.203601869
1B,94,The researcher who wrote the article clearly [MASK] quite happy with the reviews. ,were,Ungrammatical,SG,7.207368052
1B,94,The researcher who wrote the articles clearly [MASK] quite happy with the reviews. ,were,Ungrammatical,PL,6.723729077
1B,95,The child who climbed the tree naturally [MASK] upset about breaking his arm after falling. ,was,Grammatical,SG,0.733555336
1B,95,The child who climbed the trees naturally [MASK] upset about breaking his arm after falling. ,was,Grammatical,PL,0.510271409
1B,95,The child who climbed the tree naturally [MASK] upset about breaking his arm after falling. ,were,Ungrammatical,SG,7.629623862
1B,95,The child who climbed the trees naturally [MASK] upset about breaking his arm after falling. ,were,Ungrammatical,PL,7.061728921
1B,96,The actor who read the script apparently [MASK] interested in auditioning for the lead role. ,was,Grammatical,SG,0.114233761
1B,96,The actor who read the scripts apparently [MASK] interested in auditioning for the lead role. ,was,Grammatical,PL,0.102011927
1B,96,The actor who read the script apparently [MASK] interested in auditioning for the lead role. ,were,Ungrammatical,SG,5.626517019
1B,96,The actor who read the scripts apparently [MASK] interested in auditioning for the lead role. ,were,Ungrammatical,PL,5.409958217
1B,97,The dancer who learned the move clearly [MASK] the best on the stage. ,was,Grammatical,SG,0.344903168
1B,97,The dancer who learned the moves clearly [MASK] the best on the stage. ,was,Grammatical,PL,0.326640302
1B,97,The dancer who learned the move clearly [MASK] the best on the stage. ,were,Ungrammatical,SG,6.68661616
1B,97,The dancer who learned the moves clearly [MASK] the best on the stage. ,were,Ungrammatical,PL,5.902658231
1B,98,The reporter who met the candidate definitely [MASK] nervous about the upcoming debate.,was,Grammatical,SG,2.712430946
1B,98,The reporter who met the candidates definitely [MASK] nervous about the upcoming debate.,was,Grammatical,PL,2.567499169
1B,98,The reporter who met the candidate definitely [MASK] nervous about the upcoming debate.,were,Ungrammatical,SG,8.816862998
1B,98,The reporter who met the candidates definitely [MASK] nervous about the upcoming debate.,were,Ungrammatical,PL,8.027132995
1B,99,The fan who met the musician certainly [MASK] displeased with the horrible performance. ,was,Grammatical,SG,0.719907106
1B,99,The fan who met the musicians certainly [MASK] displeased with the horrible performance. ,was,Grammatical,PL,0.58713422
1B,99,The fan who met the musician certainly [MASK] displeased with the horrible performance. ,were,Ungrammatical,SG,6.74683507
1B,99,The fan who met the musicians certainly [MASK] displeased with the horrible performance. ,were,Ungrammatical,PL,6.135895592
1B,100,The journalist who met the diplomat undoubtedly [MASK] confused about the current political situation.,was,Grammatical,SG,0.69410138
1B,100,The journalist who met the diplomats undoubtedly [MASK] confused about the current political situation.,was,Grammatical,PL,0.812613102
1B,100,The journalist who met the diplomat undoubtedly [MASK] confused about the current political situation.,were,Ungrammatical,SG,6.867492643
1B,100,The journalist who met the diplomats undoubtedly [MASK] confused about the current political situation.,were,Ungrammatical,PL,6.013840219
