Ex,No,Item,Reflexive,Grammaticality,Attractor,Surprisal
2B,46,The male clerk that the male boss adored proudly introduced [MASK] to the wealthy client.,herself,Ungrammatical,masculine,3.955601358
2B,46,The male clerk that the female boss adored proudly introduced [MASK] to the wealthy client.,herself,Ungrammatical,feminine,3.581092515
2B,47,The male applicant that the male colleague recommended accidently embarrassed [MASK] at the corporate event hosted by the CEO. ,himself,Grammatical,masculine,2.351036628
2B,47,The male applicant that the female colleague recommended accidently embarrassed [MASK] at the corporate event hosted by the CEO. ,himself,Grammatical,feminine,2.539662649
2B,47,The male applicant that the male colleague recommended accidently embarrassed [MASK] at the corporate event hosted by the CEO. ,herself,Ungrammatical,masculine,3.778798587
2B,47,The male applicant that the female colleague recommended accidently embarrassed [MASK] at the corporate event hosted by the CEO. ,herself,Ungrammatical,feminine,3.630241658
2B,48,The male audience that the male sopranist invited quietly amused [MASK] during the boring recital.,himself,Grammatical,masculine,3.27797922
2B,48,The male audience that the female sopranist invited quietly amused [MASK] during the boring recital.,himself,Grammatical,feminine,3.677498901
2B,48,The male audience that the male sopranist invited quietly amused [MASK] during the boring recital.,herself,Ungrammatical,masculine,3.862779492
2B,48,The male audience that the female sopranist invited quietly amused [MASK] during the boring recital.,herself,Ungrammatical,feminine,3.256165519
2B,49,The male officer that the male criminal attacked courageously defended [MASK].,himself,Grammatical,masculine,0.0835131
2B,49,The male officer that the female criminal attacked courageously defended [MASK].,himself,Grammatical,feminine,0.128133993
2B,49,The male officer that the male criminal attacked courageously defended [MASK].,herself,Ungrammatical,masculine,3.469420264
2B,49,The male officer that the female criminal attacked courageously defended [MASK].,herself,Ungrammatical,feminine,2.753239936
2B,50,The male senator that the male supporter upheld often reminded [MASK] about the promises made on the campaign trail.,himself,Grammatical,masculine,6.413015777
2B,50,The male senator that the female supporter upheld often reminded [MASK] about the promises made on the campaign trail.,himself,Grammatical,feminine,6.736584231
2B,50,The male senator that the male supporter upheld often reminded [MASK] about the promises made on the campaign trail.,herself,Ungrammatical,masculine,8.378725616
2B,50,The male senator that the female supporter upheld often reminded [MASK] about the promises made on the campaign trail.,herself,Ungrammatical,feminine,7.600435261
2B,51,The actor that the male writer cast recently forgave [MASK] for not doing something about the harassment from the inconsiderate director. ,himself,Grammatical,masculine,1.800469858
2B,51,The actor that the female writer cast recently forgave [MASK] for not doing something about the harassment from the inconsiderate director. ,himself,Grammatical,feminine,2.745970105
2B,51,The actor that the male writer cast recently forgave [MASK] for not doing something about the harassment from the inconsiderate director. ,herself,Ungrammatical,masculine,4.845749825
2B,51,The actor that the female writer cast recently forgave [MASK] for not doing something about the harassment from the inconsiderate director. ,herself,Ungrammatical,feminine,3.143463025
2B,52,The male senator that the male environmentalist voted for often doubted [MASK] after making a controversial decision about birth control.,himself,Grammatical,masculine,3.542430134
2B,52,The male senator that the female environmentalist voted for often doubted [MASK] after making a controversial decision about birth control.,himself,Grammatical,feminine,4.240431034
2B,52,The male senator that the male environmentalist voted for often doubted [MASK] after making a controversial decision about birth control.,herself,Ungrammatical,masculine,5.521852273
2B,52,The male senator that the female environmentalist voted for often doubted [MASK] after making a controversial decision about birth control.,herself,Ungrammatical,feminine,4.8879125
2B,53,The male priest that the male volunteer prayed with often doubted [MASK] for the movement. ,himself,Grammatical,masculine,4.272376464
2B,53,The male priest that the female volunteer prayed with often doubted [MASK] for the movement. ,himself,Grammatical,feminine,4.598552859
2B,53,The male priest that the male volunteer prayed with often doubted [MASK] for the movement. ,herself,Ungrammatical,masculine,7.933455887
2B,53,The male priest that the female volunteer prayed with often doubted [MASK] for the movement. ,herself,Ungrammatical,feminine,7.366735646
2B,54,The actor that the male child liked intentionally portrayed [MASK] as a kind person during the TV interview. ,himself,Grammatical,masculine,1.449398539
2B,54,The actor that the female child liked intentionally portrayed [MASK] as a kind person during the TV interview. ,himself,Grammatical,feminine,1.743648932
2B,54,The actor that the male child liked intentionally portrayed [MASK] as a kind person during the TV interview. ,herself,Ungrammatical,masculine,2.911915328
2B,54,The actor that the female child liked intentionally portrayed [MASK] as a kind person during the TV interview. ,herself,Ungrammatical,feminine,2.152160114
2B,55,The male researcher that the male professor scout proudly praised [MASK] for a job well done.,himself,Grammatical,masculine,4.576778106
2B,55,The male researcher that the female professor scout proudly praised [MASK] for a job well done.,himself,Grammatical,feminine,4.92655788
2B,55,The male researcher that the male professor scout proudly praised [MASK] for a job well done.,herself,Ungrammatical,masculine,6.869603177
2B,55,The male researcher that the female professor scout proudly praised [MASK] for a job well done.,herself,Ungrammatical,feminine,6.332962865
2B,56,The male passenger that the male pilot scared injured [MASK] quite badly during the journey.,himself,Grammatical,masculine,0.36082086
2B,56,The male passenger that the female pilot scared injured [MASK] quite badly during the journey.,himself,Grammatical,feminine,0.502783947
2B,56,The male passenger that the male pilot scared injured [MASK] quite badly during the journey.,herself,Ungrammatical,masculine,2.490690346
2B,56,The male passenger that the female pilot scared injured [MASK] quite badly during the journey.,herself,Ungrammatical,feminine,1.950278623
2B,57,The male pedestrian that the male firefighter saved had cut [MASK] on a piece of broken glass.,himself,Grammatical,masculine,0.494461555
2B,57,The male pedestrian that the female firefighter saved had cut [MASK] on a piece of broken glass.,himself,Grammatical,feminine,0.473467456
2B,57,The male pedestrian that the male firefighter saved had cut [MASK] on a piece of broken glass.,herself,Ungrammatical,masculine,2.800751207
2B,57,The male pedestrian that the female firefighter saved had cut [MASK] on a piece of broken glass.,herself,Ungrammatical,feminine,2.743321064
2B,58,The male patient that the male surgeon treated had pricked [MASK] with a used syringe needle.,himself,Grammatical,masculine,2.255008206
2B,58,The male patient that the female surgeon treated had pricked [MASK] with a used syringe needle.,himself,Grammatical,feminine,2.218165934
2B,58,The male patient that the male surgeon treated had pricked [MASK] with a used syringe needle.,herself,Ungrammatical,masculine,4.792097602
2B,58,The male patient that the female surgeon treated had pricked [MASK] with a used syringe needle.,herself,Ungrammatical,feminine,4.239788665
2B,59,The male colleague that the male undertaker worked with whispered to [MASK] all the time with a grimace.,himself,Grammatical,masculine,3.348534142
2B,59,The male colleague that the female undertaker worked with whispered to [MASK] all the time with a grimace.,himself,Grammatical,feminine,3.580108982
2B,59,The male colleague that the male undertaker worked with whispered to [MASK] all the time with a grimace.,herself,Ungrammatical,masculine,4.182762708
2B,59,The male colleague that the female undertaker worked with whispered to [MASK] all the time with a grimace.,herself,Ungrammatical,feminine,3.658263702
2B,60,The male footballer that the male coach talked to had taught [MASK] to paint the lines on the pitch.,himself,Grammatical,masculine,4.929077854
2B,60,The male footballer that the female coach talked to had taught [MASK] to paint the lines on the pitch.,himself,Grammatical,feminine,5.118304656
2B,60,The male footballer that the male coach talked to had taught [MASK] to paint the lines on the pitch.,herself,Ungrammatical,masculine,6.944140629
2B,60,The male footballer that the female coach talked to had taught [MASK] to paint the lines on the pitch.,herself,Ungrammatical,feminine,6.127893917
2B,61,The male porter that the male passenger met had upset [MASK] quite a lot about all the luggage.,himself,Grammatical,masculine,5.795495412
2B,61,The male porter that the female passenger met had upset [MASK] quite a lot about all the luggage.,himself,Grammatical,feminine,6.152445735
2B,61,The male porter that the male passenger met had upset [MASK] quite a lot about all the luggage.,herself,Ungrammatical,masculine,8.23479742
2B,61,The male porter that the female passenger met had upset [MASK] quite a lot about all the luggage.,herself,Ungrammatical,feminine,7.59995622
2B,62,The male judge that the male victim impressed disciplined [MASK] very carefully all the time.,himself,Grammatical,masculine,4.111747626
2B,62,The male judge that the female victim impressed disciplined [MASK] very carefully all the time.,himself,Grammatical,feminine,4.042600397
2B,62,The male judge that the male victim impressed disciplined [MASK] very carefully all the time.,herself,Ungrammatical,masculine,7.056071745
2B,62,The male judge that the female victim impressed disciplined [MASK] very carefully all the time.,herself,Ungrammatical,feminine,6.41668479
2B,63,The male engineer that the male boss visited convinced [MASK] that the valve was faulty.,himself,Grammatical,masculine,4.731978492
2B,63,The male engineer that the female boss visited convinced [MASK] that the valve was faulty.,himself,Grammatical,feminine,5.28235437
2B,63,The male engineer that the male boss visited convinced [MASK] that the valve was faulty.,herself,Ungrammatical,masculine,7.92662386
2B,63,The male engineer that the female boss visited convinced [MASK] that the valve was faulty.,herself,Ungrammatical,feminine,6.8811575
2B,64,The male bricklayer that the male director annoyed lied about [MASK] damaging the tools in the shed.,himself,Grammatical,masculine,6.509946765
2B,64,The male bricklayer that the female director annoyed lied about [MASK] damaging the tools in the shed.,himself,Grammatical,feminine,6.723842492
2B,64,The male bricklayer that the male director annoyed lied about [MASK] damaging the tools in the shed.,herself,Ungrammatical,masculine,8.416019867
2B,64,The male bricklayer that the female director annoyed lied about [MASK] damaging the tools in the shed.,herself,Ungrammatical,feminine,8.102699155
2B,65,The male electrician that the male colleague called on owed [MASK] another attempt to solve the problem.,himself,Grammatical,masculine,5.793169736
2B,65,The male electrician that the female colleague called on owed [MASK] another attempt to solve the problem.,himself,Grammatical,feminine,6.057099431
2B,65,The male electrician that the male colleague called on owed [MASK] another attempt to solve the problem.,herself,Ungrammatical,masculine,7.916614008
2B,65,The male electrician that the female colleague called on owed [MASK] another attempt to solve the problem.,herself,Ungrammatical,feminine,7.572920502
2B,66,The male paratrooper that the male soldier drank with had awarded [MASK] the top prize in the pub quiz.,himself,Grammatical,masculine,4.454351873
2B,66,The male paratrooper that the female soldier drank with had awarded [MASK] the top prize in the pub quiz.,himself,Grammatical,feminine,4.700516706
2B,66,The male paratrooper that the male soldier drank with had awarded [MASK] the top prize in the pub quiz.,herself,Ungrammatical,masculine,7.058912958
2B,66,The male paratrooper that the female soldier drank with had awarded [MASK] the top prize in the pub quiz.,herself,Ungrammatical,feminine,6.236964319
2B,67,The male farmer that the male villager spoke to had paid for [MASK] to join the local fox hunt.,himself,Grammatical,masculine,6.281925787
2B,67,The male farmer that the female villager spoke to had paid for [MASK] to join the local fox hunt.,himself,Grammatical,feminine,7.315059931
2B,67,The male farmer that the male villager spoke to had paid for [MASK] to join the local fox hunt.,herself,Ungrammatical,masculine,8.318253132
2B,67,The male farmer that the female villager spoke to had paid for [MASK] to join the local fox hunt.,herself,Ungrammatical,feminine,7.51773429
2B,68,The male nurse that the male journalist interviewed criticized [MASK] for being late for the appointment.,himself,Grammatical,masculine,5.64132055
2B,68,The male nurse that the female journalist interviewed criticized [MASK] for being late for the appointment.,himself,Grammatical,feminine,5.935014484
2B,68,The male nurse that the male journalist interviewed criticized [MASK] for being late for the appointment.,herself,Ungrammatical,masculine,6.122484976
2B,68,The male nurse that the female journalist interviewed criticized [MASK] for being late for the appointment.,herself,Ungrammatical,feminine,5.791661885
2B,69,The male receptionist that the male guest phoned almost killed [MASK] in early May for no reason.,himself,Grammatical,masculine,4.55342322
2B,69,The male receptionist that the female guest phoned almost killed [MASK] in early May for no reason.,himself,Grammatical,feminine,4.503991399
2B,69,The male receptionist that the male guest phoned almost killed [MASK] in early May for no reason.,herself,Ungrammatical,masculine,5.345443023
2B,69,The male receptionist that the female guest phoned almost killed [MASK] in early May for no reason.,herself,Ungrammatical,feminine,4.947158459
2B,70,The male secretary that the male boss praised had treated [MASK] to several cakes with pink icing.,himself,Grammatical,masculine,5.282702979
2B,70,The male secretary that the female boss praised had treated [MASK] to several cakes with pink icing.,himself,Grammatical,feminine,5.075123942
2B,70,The male secretary that the male boss praised had treated [MASK] to several cakes with pink icing.,herself,Ungrammatical,masculine,5.221110766
2B,70,The male secretary that the female boss praised had treated [MASK] to several cakes with pink icing.,herself,Ungrammatical,feminine,5.011696512
2B,71,The male ballet dancer that the male director invited introduced [MASK] to all the stars from Hollywood.,himself,Grammatical,masculine,4.781670886
2B,71,The male ballet dancer that the female director invited introduced [MASK] to all the stars from Hollywood.,himself,Grammatical,feminine,5.46478456
2B,71,The male ballet dancer that the male director invited introduced [MASK] to all the stars from Hollywood.,herself,Ungrammatical,masculine,6.11875996
2B,71,The male ballet dancer that the female director invited introduced [MASK] to all the stars from Hollywood.,herself,Ungrammatical,feminine,5.680688833
2B,72,The male cook that the male babysitter cheated would blame [MASK] for the children¡¯s bad diet.,himself,Grammatical,masculine,2.688574638
2B,72,The male cook that the female babysitter cheated would blame [MASK] for the children¡¯s bad diet.,himself,Grammatical,feminine,2.823273104
2B,72,The male cook that the male babysitter cheated would blame [MASK] for the children¡¯s bad diet.,herself,Ungrammatical,masculine,3.480644551
2B,72,The male cook that the female babysitter cheated would blame [MASK] for the children¡¯s bad diet.,herself,Ungrammatical,feminine,3.296966008
2B,73,The male beautician that the male client mistrusted disliked [MASK] quite a lot.,himself,Grammatical,masculine,6.142344931
2B,73,The male beautician that the female client mistrusted disliked [MASK] quite a lot.,himself,Grammatical,feminine,6.292784992
2B,73,The male beautician that the male client mistrusted disliked [MASK] quite a lot.,herself,Ungrammatical,masculine,7.596278931
2B,73,The male beautician that the female client mistrusted disliked [MASK] quite a lot.,herself,Ungrammatical,feminine,7.590510305
2B,74,The male dressmaker that the male employer employed familiarised [MASK] with all the modern styles.,himself,Grammatical,masculine,1.267244344
2B,74,The male dressmaker that the female employer employed familiarised [MASK] with all the modern styles.,himself,Grammatical,feminine,2.232295753
2B,74,The male dressmaker that the male employer employed familiarised [MASK] with all the modern styles.,herself,Ungrammatical,masculine,3.177954624
2B,74,The male dressmaker that the female employer employed familiarised [MASK] with all the modern styles.,herself,Ungrammatical,feminine,2.018185384
2B,75,The male spy that the male executive scared had cut [MASK] with a rusty razor blade.,himself,Grammatical,masculine,2.389644806
2B,75,The male spy that the female executive scared had cut [MASK] with a rusty razor blade.,himself,Grammatical,feminine,2.128800846
2B,75,The male spy that the male executive scared had cut [MASK] with a rusty razor blade.,herself,Ungrammatical,masculine,4.040804035
2B,75,The male spy that the female executive scared had cut [MASK] with a rusty razor blade.,herself,Ungrammatical,feminine,3.467143524
2B,76,The male spectator that the male referee stood near had made a fool of [MASK] in front of the players.,himself,Grammatical,masculine,0.116534254
2B,76,The male spectator that the female referee stood near had made a fool of [MASK] in front of the players.,himself,Grammatical,feminine,0.642933503
2B,76,The male spectator that the male referee stood near had made a fool of [MASK] in front of the players.,herself,Ungrammatical,masculine,2.728063546
2B,76,The male spectator that the female referee stood near had made a fool of [MASK] in front of the players.,herself,Ungrammatical,feminine,0.888875676
2B,77,The male cleaner that the male tenant liked was proud of [MASK] and really liked doing the job.,himself,Grammatical,masculine,1.384397558
2B,77,The male cleaner that the female tenant liked was proud of [MASK] and really liked doing the job.,himself,Grammatical,feminine,1.766506721
2B,77,The male cleaner that the male tenant liked was proud of [MASK] and really liked doing the job.,herself,Ungrammatical,masculine,3.995838206
2B,77,The male cleaner that the female tenant liked was proud of [MASK] and really liked doing the job.,herself,Ungrammatical,feminine,3.228678304
2B,78,The male worker that the male colleague helped was comfortable with [MASK] in the large remote house.,himself,Grammatical,masculine,5.538922826
2B,78,The male worker that the female colleague helped was comfortable with [MASK] in the large remote house.,himself,Grammatical,feminine,5.943356714
2B,78,The male worker that the male colleague helped was comfortable with [MASK] in the large remote house.,herself,Ungrammatical,masculine,7.441282385
2B,78,The male worker that the female colleague helped was comfortable with [MASK] in the large remote house.,herself,Ungrammatical,feminine,7.330855593
2B,79,The male typist that the male lawyer insulted didn¡¯t trust [MASK] very much with the new photocopier.,himself,Grammatical,masculine,2.636547327
2B,79,The male typist that the female lawyer insulted didn¡¯t trust [MASK] very much with the new photocopier.,himself,Grammatical,feminine,3.106437208
2B,79,The male typist that the male lawyer insulted didn¡¯t trust [MASK] very much with the new photocopier.,herself,Ungrammatical,masculine,5.081162677
2B,79,The male typist that the female lawyer insulted didn¡¯t trust [MASK] very much with the new photocopier.,herself,Ungrammatical,feminine,4.665359329
